pid,name,priceValue,color,gender,group,availability,shortDesc,longDesc,material,dimensions,strap,madeIn,features,sizes,images,url,mood
MXZFATT05K8001,42-49mm 비세토스 Apple Watch 밴드,290000,Green,MEN,ACCESSORY,InStock,시대를 초월하는 모던한 시계를 위한 밴드,시즌 컬러인 카키 모스 비세토스 캔버스로 선보이는 애플 워치 스트랩입니다. 뒷면에는 부드러운 가죽을 덧대어 장인정신과 편안한 착용감을 동시에 선사합니다. 마무리는 뮌헨의 바이에른 다이아몬드에서 영감을 받은 메탈 버클로 완성되었습니다.,바디:비세토스 모노그램 캔버스,약 0 x 2 x 10 센티미터,스트랩 길이: 115 mm,대한민국,"Apple Watch®는 별도 판매됩니다. | Apple Watch® 10, 9 시리즈에 사용 할 수 있습니다. | 스트랩 안쪽과 트림: 천연 나파 가죽 | 앤틱크 실버톤 코발트 메탈 MCM 버클과 하드웨어",38/40/41mm 사용 가능 | 42/44/45/46/49mm 사용 가능 | Fits 42mm / 44mm / 45mm / 46mm / 49mm Watch/ LRG,https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT05K8001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT05K8001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT05K8001_03?sw=600,https://kr.mcmworldwide.com/ko_KR/라이프스타일/테크-액세서리/42-49mm-비세토스-apple-watch-밴드/MXZFATT05K8001.html,클래식
MXZEATT04CO001,42-49mm 비세토스 Apple Watch 스트랩,290000,Cognac,MEN,ACCESSORY,InStock,시대를 초월하는 모던한 시계.,시그니처 비세토스 모노그램 캔버스로 제작했으며 아랫면에 유연한 나파 가죽을 더해 수공예와 편안함을 결합한 Apple Watch 스트랩입니다. 바이에른 다이아몬드에서 영감을 받은 버클 디자인으로 액세서리를 더욱 돋보이게 장식했습니다.,바디: 비세토스 모노그램 캔버스,약 0 x 2 x 8 센티미터,스트랩 길이: 115 mm,대한민국,Apple Watch® 별도 판매 | 42-49mm / 44mm / 45mm 애플워치 호환 스트랩 | 밑면 및 트림: 천연 나파 가죽 | 24K 도금 브라스 버클,38/40/41mm 사용 가능 | 42/44/45/46/49mm 사용 가능 | Fits 42mm / 44mm / 45mm / 46mm / 49mm Watch/ LRG,https://images.mcmworldwide.com/i/mcmworldwide/MXZEATT04CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZEATT04CO001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZEATT04CO001_03?sw=600,https://kr.mcmworldwide.com/ko_KR/라이프스타일/테크-액세서리/42-49mm-비세토스-apple-watch-스트랩/MXZEATT04CO001.html,클래식
MXZFATT09CO001,비세토스 Apple Watch 밴드,290000,Cognac,MEN,ACCESSORY,InStock,시대를 초월하는 모던한 시계를 위한 밴드,"클래식 꼬냑 비세토스 캔버스로 정교하게 제작된 애플 워치 스트랩. 장인정신과 편안한 착용감을 제공하는 제품으로, 부드러운 가죽 안감이 더해졌으며, 스트랩은 뮌헨 바이에른 다이아몬드에서 영감을 받은 24K 골드 도금 브라스 버클로 마무리되었습니다.",바디:비세토스 모노그램 캔버스,약 0 x 2 x 9 센티미터,스트랩 길이: 125 mm,대한민국,"Apple Watch®는 별도 판매됩니다. | Apple Watch® 10, 9 시리즈에 사용 할 수 있습니다. | 스트랩 안쪽과 트림: 천연 나파 가죽 | 24K 골드 도금 브라스 메탈 버클 하드웨어",38/40/41mm 사용 가능 | 42/44/45/46/49mm 사용 가능 | Fits 42mm / 44mm / 45mm / 46mm / 49mm Watch/ LRG,https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT09CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT09CO001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZFATT09CO001_03?sw=600,https://kr.mcmworldwide.com/ko_KR/라이프스타일/테크-액세서리/비세토스-apple-watch-밴드-/MXZFATT09CO001.html,클래식
MXZGSTT06BK001,엠보스드 모노그램 레더 Apple Watch 밴드,310000,Black,MEN,ACCESSORY,InStock,엠보싱 처리된 비세토스 모노그램 모티프가 더해진 천연 풀그레인 가죽 시계줄,"천연 풀그레인 가죽을 사용하여 제작된 애플 워치 스트랩. 뮌헨 하우스의 클래식한 레터링, 라우렐, 다이아몬드 모티프가 정교하게 엠보싱 처리되어 있습니다. 장인정신이 돋보이는 디테일과 편안한 착용감을 제공하는 부드러운 밴드는 바이에른 다이아몬드에서 영감을 받은 메탈 버클로 마무리하였습니다.",바디: 천연 풀 그레인 레더,약 0 x 2 x 9 센티미터,스트랩 길이: 115 mm,대한민국,"Apple Watch®는 별도 판매됩니다. | Apple Watch® 10, 9 시리즈에 사용 할 수 있습니다. | 앤틱크 실버톤 코발트 메탈 MCM 버클과 하드웨어",38/40/41mm 사용 가능 | 42/44/45/46/49mm 사용 가능,https://images.mcmworldwide.com/i/mcmworldwide/MXZGSTT06BK001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGSTT06BK001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGSTT06BK001_03?sw=600,https://kr.mcmworldwide.com/ko_KR/라이프스타일/테크-액세서리/엠보스드-모노그램-레더-apple-watch-밴드-/MXZGSTT06BK001.html,클래식
MYZGSTA01CO001,Aren 비세토스 코스메틱 파우치,590000,Cognac,WOMEN,ACCESSORY,InStock,천연 가죽 트림이 더해진 비세토스 모노그램 캔버스 베니티 케이스,"뷰티 및 트래블 용품 수납용 라지 ‘Aren’ 코스메틱 파우치. 시그니처 로고 브라스 플레이트 하드웨어가 전통적 감성을 더하며, 마이크로화이버 스웨이드 내부에는 바이에른 다이아몬드에서 영감을 받은 가죽 패치로 세련미와 장인 정신을 한층 강조했습니다.",바디:비세토스 모노그램 캔버스 | 트림:천연 가죽,약 7 x 24 x 16 센티미터,,대한민국,로고 브라스 플레이트 | 지퍼 클로저 | 내부 슬립 포켓 | 다이아몬드 가죽 패치가 더해진 내부 | 24K 골드 도금 브라스 하드웨어 | 스웨이드 마감의 극세사 안감,M | L,https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA01CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA01CO001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA01CO001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA01CO001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/트래블/트래블-액세서리/aren-비세토스-코스메틱-파우치/MYZGSTA01CO001.html,클래식
MXZGATA084B001,Aren 비세토스 체인 스트랩이 더해진 에어팟 프로 케이스,650000,Brown,MEN,ACCESSORY,InStock,"레더 스트랩, 체인 스트랩, 가죽 트림이 돋보이는 비세토스 모노그램 캔버스 AirPods Pro 참","하우스의 시대를 초월한 코드와 장인정신을 담아낸 AirPods Pro 참. 가죽 스트랩과 체인 스트랩을 함께 구성해 다양한 스타일로 연출할 수 있으며, 뒷면의 가죽 루프 디테일로 한층 확장된 활용성을 제공합니다.",바디:비세토스 모노그램 캔버스,약 3 x 11 x 8 센티미터,,대한민국,레더 스트랩과 체인 스트랩 | 에어팟 프로에 맞는 사이즈 | 뒷면의 레더 루프 | 로고 브라스 플레이트 잠금장치 | 레더 트림 | 24K 골드 도금 브라스 하드웨어 | 패브릭 안감 | 스트랩 드롭: 60 cm,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA084B001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA084B001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA084B001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXZGATA084B001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/aren-비세토스-체인-스트랩이-더해진-에어팟-프로-케이스/MXZGATA084B001.html,스트릿
MYZGSTA08PZ001,Aren 비세토스 코스메틱 파우치,530000,Pink,WOMEN,ACCESSORY,InStock,천연가죽 트림이 더해진 비세토스 모노그램 캔버스 베니티 케이스,"장인정신이 깃든 아렌 코스메틱 파우치는 뷰티 아이템과 여행 필수품을 세련되게 수납할 수 있는 실용적인 아이템입니다. 시그니처 로고 브라스 플레이트가 헤리티지 무드를 더하며, 내부는 마이크로파이버 스웨이드 라이닝과 바이에른 다이아몬드에서 영감을 받은 레더 패치로 정교하게 마감되었습니다.",바디:비세토스 모노그램 캔버스 | 트림:천연 가죽,약 6 x 20 x 13 센티미터,,대한민국,로고 브라스 플레이트 | 지퍼 클로저 | 다이아몬드 가죽 패치가 더해진 내부 | 16K 골드 도금 메탈 하드웨어 | 스웨이드 마감의 극세사 안감,M | L,https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA08PZ001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA08PZ001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA08PZ001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZGSTA08PZ001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/트래블/트래블-액세서리/aren-비세토스-코스메틱-파우치/MYZGSTA08PZ001.html,클래식
MEZFAMM09IR001,MCM X BE@RBRICK 가리모쿠 400%,1890000,Brown,WOMEN,ACCESSORY,OutOfStock,MCM의 헤리티지가 담긴 이 핸드메이드 BE@RBRICK 피규어는 그 자체로 한 점의 예술 작품입니다.,"장인의 손길로 하나하나 조각된 월넛과 오크 우드 소재의 400% BE@RBRICK 피규어는, BE@RBRICK과 MCM의 유산을 기념하는 기념비적인 작품입니다. 베를린 베어를 연상시키는 실루엣은 MCM의 독일적 뿌리를 상징적으로 담아내며, 뮌헨 하우스를 대표하는 바이에른 다이아몬드 패턴으로 예술성과 정체성을 동시에 완성했습니다.",바디: 우레탄 코팅이 된 월넛-오크 혼합 목재,,,일본,400% 피규어 | 바바리안 다이아몬드 모티프 | 앞면의 라우렐 로고 모티프 | 15세 이상 사용 권장,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM09IR001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM09IR001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM09IR001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM09IR001_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM09IR001_05?sw=600,https://kr.mcmworldwide.com/ko_KR/신상품/bearbrick-in-mcm-wonderland/mcm-x-be@rbrick-가리모쿠-400%/MEZFAMM09IR001.html,스트릿
MXBDATA01BK001,Claus Matte M Reversible Belt 1.75” in Maxi Visetos,410000,Black,MEN,ACCESSORY,OutOfStock,Reversible Visetos belt with Matte black “M” buckle and nappa leather trim,"The front face of the Claus belt magnifies the classic Visetos monogram print in a bold expression of MCM maximalism, while a reverse side in nappa leather allows the wearer to opt for modern minimalism. A matte black edition of the iconic “M” buckle embellishes the accessory.",,,,대한민국,Reversible design | Adjustable length (Cut to size) | Waist measure in cm: 121 | Main face: Visetos monogram canvas | Alternate side: Nappa leather | Matte black metal M buckle,잘라서 사이즈 조절,https://images.mcmworldwide.com/i/mcmworldwide/MXBDATA01BK001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBDATA01BK001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBDATA01BK001_03?sw=600,https://kr.mcmworldwide.com/ko_KR/claus-matte-m-reversible-belt-1.75”-in-maxi-visetos/MXBDATA01BK001.html,클래식
MXBDATA01CO001,Claus Matte M Reversible Belt 1.75” in Maxi Visetos,410000,Black,MEN,ACCESSORY,OutOfStock,Reversible Visetos belt with Matte black “M” buckle and nappa leather trim,"The front face of the Claus belt magnifies the classic Visetos monogram print in a bold expression of MCM maximalism, while a reverse side in nappa leather allows the wearer to opt for modern minimalism. A matte black edition of the iconic “M” buckle embellishes the accessory.",,,,대한민국,Reversible design | Adjustable length (Cut to size) | Waist measure in cm: 121 | Main face: Visetos monogram canvas | Alternate side: Nappa leather | Matte black metal M buckle,잘라서 사이즈 조절,https://images.mcmworldwide.com/i/mcmworldwide/MXBDATA01CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBDATA01CO001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MXBDATA01CO001_03?sw=600,https://kr.mcmworldwide.com/ko_KR/claus-matte-m-reversible-belt-1.75”-in-maxi-visetos/MXBDATA01CO001.html,클래식
MHEEAMM01BK00L,라우렐 터틀넥 스웨터,1090000,Black,MEN,CLOTHING,OutOfStock,라우렐 모티프가 돋보이는 유니섹스 오버사이즈 울 캐시미어 블렌드 터틀넥 스웨터,MCM을 상징하는 고귀한 월계수 패턴을 슬리브에 포인트를 준 오버사이즈 터틀넥 스웨터입니다. 시그니처 리본 모티프가 톤온톤 MCM 로고 자수와 함께 실루엣의 뒷면을 장식합니다.,"울 70%, 캐시미어 30%",,,이탈리아,터틀넥 디자인 | 슬리브의 라우렐 모티프 | 뒷면의 톤온톤 MCM 로고 자수 | 오버사이즈 핏,XS | S | M | L,https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_11?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_12?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEEAMM01BK00L_13?sw=600,https://kr.mcmworldwide.com/ko_KR/cyber-week/라우렐-터틀넥-스웨터/MHEEAMM01BK00L.html,캐주얼
MWSFSAK04VC001,Diamant 3D 모노그램 네오프렌 숄더백,764000,Blue,WOMEN,BAG,OutOfStock,엠보스드 비세토스 모노그램과 천연 나파 가죽 트림이 돋보이는 네오프렌 숄더백,바이에른 다이아몬드를 입체적으로 해석했으며 엠보스드 비세토스 모노그램 모티프가 특징입니다. 네이비 컬러의 네오프렌과 천연 나파 가죽으로 제작한 매우 부드러운 실루엣으로 몸에 꼭 맞아 더욱 편안한 착용감을 선사합니다.,바디: 이탈리안 네오프렌 | 트림: 천연 나파 가죽,약 14 x 34 x 23 센티미터,스트랩 길이: 45cm,대한민국,조절 가능한 어깨 스트랩 | 엠보싱 비세토스 모노그램. | 뒷면 외부 포켓 및 지퍼 수납공간 | 비세토스 모노그램 프린트 가죽 고리가 달린 양방향 지퍼 클로저 | 내부 지퍼 수납공간 | 다크 톤 금속 장식 | 패브릭 안감.,M,https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_05?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_06?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MWSFSAK04VC001_10?sw=600,https://kr.mcmworldwide.com/ko_KR/diamant-3d-모노그램-네오프렌-숄더백/MWSFSAK04VC001.html,캐주얼
MYZCATA10BW001,Aren 체커보드 비세토스 코스메틱 파우치,235000,Black,WOMEN,BAG,OutOfStock,시그니처 비세토스 모노그램의 특별한 체커보드 에디션.,Bloomingdale’s의 150주년을 기념하는 블랙 앤 화이트 체커보드 비세토스 모노그램은 백화점의 상징적인 빅 브라운 백을 떠올리게 하는 클래식 MCM 코냑 컬러의 싱글 스퀘어가 특징입니다. 나파 가죽으로 장식된 미디엄 사이즈의 베니티 케이스에 화장품과 여행 필수 아이템을 세련되게 보관할 수 있습니다.,,약 6 x 20 x 13 센티미터,,대한민국,지퍼 클로저 | 체커보드 비세토스 모노그램 캔버스 | 나파 가죽 트림 | 매트 블랙 금속 장식,M,https://images.mcmworldwide.com/i/mcmworldwide/MYZCATA10BW001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZCATA10BW001_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZCATA10BW001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZCATA10BW001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MYZCATA10BW001_04?sw=600,https://kr.mcmworldwide.com/ko_KR/트래블/모두보기/aren-체커보드-비세토스-코스메틱-파우치/MYZCATA10BW001.html,캐주얼
MEZFAMM10CO001,MCM X BE@RBRICK 인덴-야 400%,3950000,Cognac,WOMEN,ACCESSORY,InStock,"전통 장인정신과 감각적인 현대미가 조화를 이루는, 일본의 명가 인덴야와의 특별한 콜라보레이션","수천 킬로미터 떨어져 있지만, 장인정신에 대한 확고한 신념으로 하나가 된 세 브랜드. 400년 역사를 지닌 일본 가죽 브랜드 인덴야는 독자적인 옻칠 기법으로 잘 알려져 있으며, 이번 MCM과의 협업을 통해 시그니처 Visetos 모노그램으로 장식된 400% 사이즈의 사슴가죽 BE@RBRICK 피규어를 선보입니다.",바디: 사슴 가죽,,,일본,400% 피규어 | 비세토스 모노그램 모티프 | 15세 이상 사용 권장,프리 사이즈,https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM10CO001_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM10CO001_02?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM10CO001_03?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM10CO001_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MEZFAMM10CO001_05?sw=600,https://kr.mcmworldwide.com/ko_KR/신상품/bearbrick-in-mcm-wonderland/mcm-x-be@rbrick-인덴-야-400%/MEZFAMM10CO001.html,스트릿
MHJESMM05CO00L,재생 나일론 모노그램 프린트 윈드브레이커,1150000,Cognac,MEN,CLOTHING,OutOfStock,올오버 비세토스 모노그램 프린트가 돋보이는 재생 나일론 소재의 유니섹스 윈드브레이커,바다에서 수거한 어망을 재생한 이탈리아산 나일론 원사로 제작되었으며 은은한 디스트레스드 효과를 담은 국제재생표준(GRS) 인증 윈드브레이커입니다. 비세토스 모노그램 올오버 프린트와 가슴의 라우렐 로고 자수가 클래식 코냑 컬러웨이와 어우러지며 MCM의 시그니처 헤리티지 코드를 선보입니다.,100% ECONYL® 재생 나일론,,,대한민국,"후드 디자인 | 비세토스 모노그램 올오버 프린트 | 가슴의 라우렐 로고 패치 자수 | 지퍼 클로저 | 전면 사이드 포켓 | 신축성 있는 밑단과 커프스 | 오버사이즈 핏. 모델 신장: 186cm, 착용 사이즈: 미디엄",S | M | L | X라지,https://images.mcmworldwide.com/i/mcmworldwide/MHJESMM05CO00L_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESMM05CO00L_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESMM05CO00L_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESMM05CO00L_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESMM05CO00L_11?sw=600,https://kr.mcmworldwide.com/ko_KR/econyl-products/재생-나일론-모노그램-프린트-윈드브레이커/MHJESMM05CO00L.html,스트릿
MHTCAMM09EG00M,남성용 도심 속 골프 빈티지 모노그램 폴로 셔츠,117000,Grey,MEN,CLOTHING,OutOfStock,MCM은 리미티드 에디션 Golf in the City 컬렉션과 함께 계속해서 카테고리를 초월해 나갑니다.,Golf in the City 컬렉션은 시그니처 MCM 스타일을 통해 세련미 넘치는 티오프 타임을 선사합니다. 빈티지 비세토스 모노그램 프린트가 돋보이며 하우스의 유서 깊은 헤리티지를 보여주는 오가닉 코튼 피케 폴로 셔츠입니다. 니트 칼라와 슬리브의 대조적인 스트라이프가 아이템을 완성합니다.,컨트롤유니온(Control Union) 인증 오가닉 코튼 100%,,,대한민국,투버튼 플래킷 | 리브 니트 칼라와 슬리브의 대조적인 스트라이프 | 빈티지 비세토스 모노그램 프린트 | 레귤러 핏,M,https://images.mcmworldwide.com/i/mcmworldwide/MHTCAMM09EG00M_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHTCAMM09EG00M_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHTCAMM09EG00M_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHTCAMM09EG00M_10?sw=600,https://kr.mcmworldwide.com/ko_KR/남성용-golf-in-the-city-오가닉-코튼-빈티지-모노그램-폴로-셔츠/MHTCAMM09EG00M.html,캐주얼
MHDESMM02WC0XS,Intarsia Laurel Cardigan,1150000,White,MEN,CLOTHING,OutOfStock,Unisex oversized intarsia knit wool-cashmere cardigan with Laurel motifs and logo embroidery,Our noble laurel leaves feature prominently on this intarsia knit cardigan in a sustainable blend of Italian superfine wool and cashmere. Classic iconography further enriches the piece through “MCM” logo embroidery on the back of the neck.,"70% Wool, 30% Cashmere",,,이탈리아,Front button closure | Intarsia knit laurel motifs on sleeves and back | MCM logo embroidery on back of neck | 오버사이즈 핏. 모델의 신장은 175cm 이며 Medium 사이즈를 착용하고 있습니다.,XS | S | M | L,https://images.mcmworldwide.com/i/mcmworldwide/MHDESMM02WC0XS_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHDESMM02WC0XS_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHDESMM02WC0XS_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHDESMM02WC0XS_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHDESMM02WC0XS_11?sw=600,https://kr.mcmworldwide.com/ko_KR/hidden-categories---do-not-delete/cn/wechatfeed/intarsia-laurel-cardigan/MHDESMM02WC0XS.html,캐주얼
MHJESBC05VD00L,ECONYL®의 라우렐 로고 윈드브레이커,990000,Blue,MEN,CLOTHING,OutOfStock,라우렐 로고 패치 자수가 돋보이는 남성용 재생 나일론 윈드브레이커,"친환경적인 방식의 비바람에도 강한 이 ECONYL® 윈드브레이커는 완전히 지속 가능하며, 재생 나일론 직물은 여러 번 재생해 사용해도 품질과 모양을 유지합니다. 후드 실루엣은 가슴의 시그니처 라우렐 로고 자수와 오른쪽 커프의 클래식한 'MCM' 레터로 완성되었습니다.",100% ECONYL® 재생 나일론,,,대한민국,"후드 디자인 | 가슴의 라우렐 로고 패치 자수 | 지퍼 클로저 | 전면 사이드 포켓 | 신축성 있는 밑단과 커프스 | 오른쪽 커프의 MCM 로고 모티프 | 폴리에스터 메시 안감 | 오버사이즈 핏. 모델 신장: 186cm, 착용 사이즈: 미디엄",S | M | L | X라지,https://images.mcmworldwide.com/i/mcmworldwide/MHJESBC05VD00L_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESBC05VD00L_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESBC05VD00L_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESBC05VD00L_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHJESBC05VD00L_11?sw=600,https://kr.mcmworldwide.com/ko_KR/econyl-products/econyl®의-라우렐-로고-윈드브레이커/MHJESBC05VD00L.html,캐주얼
MFPEAMM01VC042,로레토스 울 자카드 쇼츠,533000,Blue,WOMEN,CLOTHING,OutOfStock,로레토스 모노그램 모티프가 돋보이는 여성용 오버사이즈 네이비 울 자카드 쇼츠,이탈리아산 버진 울 폴리에스터 블렌드로 직조했으며 톤온톤 버전의 로레토스 모노그램으로 시그니처 MCM 아이콘을 은은하게 담아낸 자카드 쇼츠입니다. 반전된 박스 플리츠와 다이아몬드 메탈 금속 장식이 있는 가죽 벨트 고리로 오버사이즈 실루엣을 완성했습니다. 이번 시즌의 재킷과 세트로 매치하여 현대적인 테일러드 룩을 완성할 수 있습니다.,"버진 울 60%, 폴리에스터 40%",,,대한민국,로레토스 모노그램 모티프 | 앞면과 뒷면의 반전된 박스 플리츠 | 가죽 벨트 고리와 메탈 다이아몬드 금속 장식 | 라우렐 로고 자수가 있는 뒷면 플랩 포켓 | 다이아몬드 모노그램 자카드 비스코스 안감 | 오버사이즈 핏,42 IT,https://images.mcmworldwide.com/i/mcmworldwide/MFPEAMM01VC042_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFPEAMM01VC042_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFPEAMM01VC042_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFPEAMM01VC042_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFPEAMM01VC042_11?sw=600,https://kr.mcmworldwide.com/ko_KR/hidden-categories---do-not-delete/cn/wechatfeed/로레토스-울-자카드-쇼츠/MFPEAMM01VC042.html,클래식
MFJESBC01VD00L,에센셜 로고 테리 지퍼 후디,346000,Blue,WOMEN,CLOTHING,OutOfStock,라우렐 로고 터프트 패치가 돋보이는 여성용 크롭 테리 지퍼 후드 스웨트셔츠,라우렐 엠블럼의 영광스러운 모습을 가슴의 터프트 패치 자수로 담아낸 크롭 테리 후디입니다. 어깨와 소매의 대조적인 니트 밴드가 특징입니다.,"폴리에스터 56%, 코튼 44%",,,대한민국,"후드 | 전면 지퍼 클로저 | 터프트 패치 자수 MCM 로고 | 전면 포켓 | 어깨와 소매의 콘트라스트 밴드 | 크롭 핏 모델 신장: 175cm, 착용 사이즈: 스몰",L,https://images.mcmworldwide.com/i/mcmworldwide/MFJESBC01VD00L_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFJESBC01VD00L_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFJESBC01VD00L_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFJESBC01VD00L_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFJESBC01VD00L_11?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MFJESBC01VD00L_12?sw=600,https://kr.mcmworldwide.com/ko_KR/hidden-categories---do-not-delete/cn/wechatfeed/에센셜-로고-테리-지퍼-후디/MFJESBC01VD00L.html,캐주얼
MHEESMM01ED00L,울 캐시미어 블렌드 라우렐 스웨터,850000,Grey,MEN,CLOTHING,InStock,라우렐 로고 자수가 돋보이는 유니섹스 울 캐시미어 니트 스웨터,"슈퍼 파인 울 캐시미어 블렌드의 유니섹스 크루넥 스웨터로, 다채로운 자수로 표현한 시그니처 라우렐 로고가 특징입니다. 실루엣 뒷면의 다이아몬드 스티치 패턴은 뮌헨의 바이에른 다이아몬드에서 영감을 받았습니다.","울 70%, 재생 캐시미어 30%",,,대한민국,"리브 니트 칼라와 밑단, 커프스 | 가슴의 라우렐 로고 자수 | 레귤러 핏.",S | M | L,https://images.mcmworldwide.com/i/mcmworldwide/MHEESMM01ED00L_01?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEESMM01ED00L_09?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEESMM01ED00L_04?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEESMM01ED00L_10?sw=600 | https://images.mcmworldwide.com/i/mcmworldwide/MHEESMM01ED00L_11?sw=600,https://kr.mcmworldwide.com/ko_KR/hidden-categories---do-not-delete/cn/wechatfeed/울-캐시미어-블렌드-라우렐-스웨터/MHEESMM01ED00L.html,캐주얼
